year,team,conference,division,expectedWins,total.games,total.wins,total.losses,total.ties,conferenceGames.games,conferenceGames.wins,conferenceGames.losses,conferenceGames.ties,homeGames.games,homeGames.wins,homeGames.losses,homeGames.ties,awayGames.games,awayGames.wins,awayGames.losses,awayGames.ties
2022,Southern Mississippi,Sun Belt,West,6.9,13,6,6,0,8,4,4,0,6,3,3,0,6,3,3,0
2022,South Florida,American Athletic,,3.2,12,1,11,0,8,0,8,0,5,1,4,0,6,0,6,0
2022,Stanford,Pac-12,,2.9,12,3,9,0,9,1,8,0,6,2,4,0,6,1,5,0
2022,Syracuse,ACC,Atlantic,6,13,7,6,0,8,4,4,0,7,5,2,0,5,2,3,0
2022,TCU,Big 12,,10.3,15,13,2,0,10,9,1,0,6,6,0,0,6,6,0,0
2022,Temple,American Athletic,,4.3,12,3,9,0,8,1,7,0,7,3,4,0,5,0,5,0
2022,Tennessee,SEC,East,9.7,13,11,2,0,8,6,2,0,7,7,0,0,5,3,2,0
2022,Texas,Big 12,,9.8,13,8,5,0,9,6,3,0,7,5,2,0,4,2,2,0
2022,Texas A&M,SEC,West,4.7,12,5,7,0,8,2,6,0,7,4,3,0,4,0,4,0
2022,Texas State,Sun Belt,West,4.4,12,4,8,0,8,2,6,0,6,4,2,0,6,0,6,0
2022,Texas Tech,Big 12,,6.4,13,7,5,0,9,5,4,0,7,6,1,0,5,1,4,0
2022,Toledo,Mid-American,West,10.6,14,8,5,0,9,6,3,0,6,5,1,0,6,2,4,0
2022,Troy,Sun Belt,West,9.6,14,12,2,0,9,8,1,0,7,7,0,0,6,4,2,0
2022,Tulane,American Athletic,,9.1,14,12,2,0,9,8,1,0,8,6,2,0,5,5,0,0
2022,Tulsa,American Athletic,,5,12,5,7,0,8,3,5,0,6,3,3,0,6,2,4,0
2022,UAB,Conference USA,,8.6,13,7,6,0,8,4,4,0,6,5,1,0,6,1,5,0
2022,UCF,American Athletic,,7.6,14,9,5,0,9,6,3,0,7,5,2,0,6,4,2,0
2022,UCLA,Pac-12,,9.8,13,9,4,0,9,6,3,0,8,6,2,0,4,3,1,0
2022,UMass,FBS Independents,,1.7,12,1,11,0,3,0,3,0,5,1,4,0,7,0,7,0
2022,UNLV,Mountain West,West,4.8,12,5,7,0,8,3,5,0,6,4,2,0,6,1,5,0
2022,USC,Pac-12,,9.8,14,11,3,0,10,8,2,0,7,7,0,0,5,4,1,0
